Title,Date,Source
꿈의 '유비쿼터스 세상' 어떤 모습일까,2005.03.28,아침을 먹고 옷장 앞에 서자 매직미러가 오늘의 일정과 날씨에 맞는 옷을 추천해 주고 현재 교통 상황이 좋지 못하니 서둘러야 한다고 말해준다. 승용차에서는 텔레매틱스 단말기가 회사까지의 최단거리를 설정해주고...
[유비쿼터스혁명 시작됐다]꿈의 네트워크 실생활 ‘ON’,2005.04.11,"전시관의 디지털 거울은 주인의 하루 일정을 알려주는 비서와, 날씨에 맞는 옷을 추천하는 코디네이터의 역할을 번갈아 한다. u-스트리트에 있는 지능형 정거장도 탄성을 자아낸다. 정거장에 목적지를 말하는 순간..."
"'유비쿼터스', 사생활 보호가 관건",2005.05.15,<기자> 센서 칩이 내장된 거울이 입고 나갈 옷을 추천해 줍니다. 주요 뉴스와 날씨 정보도 실시간으로 나타납니다. 냉장고가 햄의 유통기한을 얘기해 주고 보충해야할 식료품의 리스트을 골라주면 자동으로 상점에 주문이...
[fn창간 5주년－블루오션 전략]다빈치 ‘유비쿼터스 세상’ 꿈이나 꿨을까,2005.06.22,"일단 옷 한벌을 골라 거울앞에 선다. 이어 거울에 하루일정과 날씨, 만날 상대 등을 입력한다. 신기하게 거울은 최상의 옷을 추천한다. 이어 거을은 옷에 맞는 넥타이, 구두, 허리띠, 헤어스타일 등 숙련된 코디네이터..."
[패션 컨설팅] 아웃도어웨어 ‥ '고어텍스 팩라이트' 점퍼 굿,2005.08.26,"점퍼는 가볍고 방수.방풍 효과가 뛰어난 '고어텍스 팩라이트',점퍼 안에 받쳐 입는 옷은 땀을 흡수해 빨리 말려주는 '쿨맥스',바지는 땀 흡수력이 우수한 '쉘 러' 소재의 옷을 추천한다. 신발도 미끄러질 위험이 있는..."
"""옷은 삶에 큰의미…자신감을 입혀요""",2005.09.14,이런 경험으로 손님들에게 옷을 추천해주는 안목을 넓혔다. 그만의 승부 근성도 꿈틀거렸다. 류씨는... 손님들과 옷 얘기 뿐 아니라 친구처럼 책이며 드라마 본 얘기 등 일상 생활에서 공감할 수 있는 화제를 나눈다. 또...
발굴 스타과학자 <7회> 뇌파조절 연구의 1인자 -KIST 신희섭 박사,2005.10.05,"잠을 깨우고 아침 식사를 준비하며, 하루 일과를 알려주는 로봇, 인간의 친구가 되고 기분에 따라 옷도 추천하며, 감정까지 표현하는 로봇에게는 인공지능이 필수이다. 인공지능을 가진 인공의 뇌를 만드는것도 그렇게 먼..."
2010년 상용화 되는 미래 주택은?,2005.10.13,외출할 때에는 매직 미러와 옷장에서 그날 분위기에 맞는 옷을 추천 받아 옷을 입지 않고도 자신의 스타일을 골라볼 수 있습니다. 인터뷰: 조성찬 상무 / 삼성건설 상무 -'지금까지는 사람이 주거환경과 공간에 맞춰 생활해...
섹시…우아…발랄…시선을 사로 잡아라,2005.12.06,평소 ‘옷 잘 입는다’는 소리를 꽤 듣는 임씨지만 결혼해서 처음 맞는 크리스마스와 연말연시 시댁... 좋다고 추천한다. 에뜨로 기획팀 이향숙 팀장은 “난방이 잘 되는 요즘에는 평소에도 실내에선 반팔 을 즐기는 이들이...
크리스마스 모임 의상은 무엇을 입어야 하나?,2005.12.06,평소 ‘옷 잘 입는다’는 소리를 꽤 듣는 임씨지만 결혼해서 처음 맞는 크리스마스와 연말연시 시댁... 좋다고 추천한다. 에뜨로 기획팀 이향숙 팀장은 “난방이 잘 되는 요즘에는 평소에도 실내에선 반팔 을 즐기는 이들이...
[알뜰살뜰 정보],2005.12.23,‘여성코디’ 코너로 들어가 여성스러움 등 몇 가지 주문을 하면 조건에 맞는 옷들이 추천된다. 오픈을 기념하기 위해 경품 이벤트를 진행한다. ●헹켈 23∼24일 신세계 강남점과 롯데백화점 본점에서 ‘헹켈과...
네티즌 놀래킨 화제의 인터넷 사진들②[2005 결산],2005.12.28,주인이 '가장 멋지고 예쁜 옷'이라며 적극 추천한 티셔츠에는 '정지 보행금지'라는 한글이 큼지막하게 쓰여져 있었던 것이다. 물론 대부분의 한국인이 이 셔츠를 보면 다소 유치한 디자인과 문구에 웃음이...
그녀의 손길 닿는 곳 '매장의 봄',2006.02.18,<#오후 2~4시> 단골 손님 방문… 어울리는 옷 추천 오후가 되자 백화점 전체에 활기가 돌기 시작한다. 이날은 특별히 단골손님이 매장을 찾았다. 지난번에 구입한 옷과 조금 다른 스타일을 찾는다. “매장에 들어서는 손님을...
"LG패션 ""'헤지스'와 'TNGT'로 멋내세요""",2006.04.17,"LG패션은 실용적이면서도 세련된 느낌을 강조한 '헤지스'를 봄나들이 옷으로 추천했다. 정돈되고 세련된... 점퍼와 재킷, 카디건 같은 겉 옷 못지않게 셔츠도 봄 냄새가 물씬 풍긴다. 'TNGT' 캐주얼 셔츠는 이미 유행하고 있는..."
패션도 축구 그라운드 주요 전략,2006.05.19,"중에서도 옷 잘 입는 멋쟁이로 통한다. 명품족인 그는 조르지 아르마니와 휴고 보스 등 이탈리아 패션 명품을 주로 입었다. 애인 엘리자베스 덕도 컸다. 그녀는 주로 검은색과 베이지색, 카키색 계열의 옷을 추천해 96kg에..."
`젠틀맨`아드보 vs`명품족`히딩크,2006.05.19,"중에서도 옷 잘 입는 멋쟁이로 통한다. 명품족인 그는 조르지 아르마니와 휴고 보스 등 이탈리아 패션 명품을 주로 입었다. 애인 엘리자베스 덕도 컸다. 그녀는 주로 검은색과 베이지색, 카키색 계열의 옷을 추천해 96kg에..."
[패션단신]타미힐피거 外,2006.09.06,개인별 체형에 어울리고 입맛에 맛는 옷을 스타일링해 추천해주는 행사로 타미힐피거의 주요 매장에 7명의 스타일리스트가 직접 나와 제안한다. 김혜수 고소영 김민희 차승원 천정명 등 유명 연예인의 스타일링을 담당한...
주머니 얇아도 정보가 두껍다…'된장녀'보다 '프라브족',2006.09.11,"유 씨가 제일 먼저 찾은 곳은 중앙 분수대 인근의 중저가 옷 판매 전문점. 민소매 셔츠 4천900원, 반바지... 2만~3만 원대의 옷을 원한다고 하자 판매 담당자가 원피스를 비롯 여러 가지 옷을 추천해준다. 20여분 둘러본..."
"패션업계 ""기성복도 맞춰드려요""",2006.09.18,맞춤 서비스하면 보통 소규모 양복점에서 옷 맞춰 입는 생각하시는 분들 많으실 텐데요. 요즘은 대형 패션... 자신의 스타일을 잘 알지 못하는 남성 고객들에게 가장 이미지에 맞는 옷을 추천해 맞춤복 못지 않은 효과를...
[주말데이트]이스라엘 ''국보급'' 안무가 오하드 나하린,2006.10.20,"나하린은 이번 공연에 무대에 오르고 싶은 관객이라면 빨간색 옷을 입고 오라고 추천한다. 단 무용수처럼 보이면 선택에서 제외된단다. 나하린의 ‘마이너스 7’ 이외에도 나초 두아토의 ‘두엔데’, 김판선의 ‘컨퓨전..."
시계가 IT를 만났을때,2006.11.20,시계의 앞부분을 건드리자 시계바늘이 움직여 그날 입을만한 옷을 추천합니다. 이 회사는 터치스크린 기능을 시계에 적용해 착용자들이 아기자기한 재미를 느낄 수 있도록 했습니다. 또 거추장스러운 것을 싫어하는 젊은...
시계가 IT를 만났을때,2006.11.20,시계의 앞부분을 건드리자 시계바늘이 움직여 그날 입을만한 옷을 추천합니다. 이 회사는 터치스크린 기능을 시계에 적용해 착용자들이 아기자기한 재미를 느낄 수 있도록 했습니다. 또 거추장스러운 것을 싫어하는 젊은...
영화속 명품 공주드레스 대여점 가면 3만원 OK,2006.12.06,"레베카테일러 등 인지도 높은 브랜드의 드레스 1000여벌을 구비하고 있는 것이 특징. 연예인 코디네이터 출신 스타일리스트가 얼굴과 체형에 맞는 옷을 추천해주는 것은 기본이고, 메이크업 서비스도 해준다. (02)542-4866"
수백만~수천만원 드레스 빌려 입으세요,2006.12.06,"레베카테일러 등 인지도 높은 브랜드의 드레스 1000여벌을 구비하고 있는 것이 특징. 연예인 코디네이터 출신 스타일리스트가 얼굴과 체형에 맞는 옷을 추천해주는 것은 기본이고, 메이크업 서비스도 해준다. (02)542-4866"
롯데주택문화관 '유비쿼터스관' 눈길,2006.12.19,옷 골라주고 요리법도 알려주고… 드레스룸에서 내게 가장 잘 어울리는 옷을 '드레스코디 정보 거울(사진)'이 추천해 주고 거실에서 보았던 영화를 끊지 않고 가족실 TV를 통해 계속 본다. 지난달 25일 부산 연제구 거제동에...
[NJ 섹시리포트] 지선이 알려주는 나만의 패션만들기,2007.02.26,명랑한 성격은 형광빛 옷 ▶성격 따라 꾸미는 코디 내심 소심한 성격의 사람에겐 꽃무늬 옷을 추천하고 싶어. 소심한 성격을 오히려 좀 더 여성스럽게 바꾸는 방법 중 하나가 될 수 있거든. 하지만 반대로 밝고 명랑한...
아파트의 미래 어떤 모습일까,2007.03.01,옷가게에 들어가면 개인 취향 등의 데이터가 집계돼 적당한 옷을 추천해 준다. 이 영화에서 통신이나 영화 등은 입체 스크린을 통해 이뤄지는 데 쌍방향성이 특징이다. 개인의 움직임을 감지해 상호 작용하면서 각종...
아파트의 미래 어떤 모습일까,2007.03.02,옷가게에 들어가면 개인 취향 등의 데이터가 집계돼 적당한 옷을 추천해 준다. 이 영화에서 통신이나 영화 등은 입체 스크린을 통해 이뤄지는 데 쌍방향성이 특징이다. 개인의 움직임을 감지해 상호 작용하면서 각종...
블로거의 알짜 쇼핑 노하우,2007.04.10,"게시판을 통해 아이 옷을 추천해 달라는 엄마들도 생겼다. 펌블을 하고 나서는 책임감이 생겨 매일 3~4시간 이상을 아이 옷 찾기에 투자하고 있다는 강씨는 ""펌블을 하고 나서는 좀 더 신중하게 아이 옷을 구입하게 되는..."
‘막돼먹은 영애씨’에서 열혈 연기배우로 거듭나는 김현숙,2007.06.13,"다른 사람들이 들어오면 옆에 와서 예쁜 옷들을 추천해주기도 하는데 그냥 카운터에서 자기 할 일 하고... 기분 좋게 옷 한 벌을 사러 갔을 뿐인데, 무심하게 가해지는 점원의 시선 때문에 그는 ‘죄인이 된’ 기분이다...."
"'경성 바람둥이' 강지환, 나이대 별 여성 공략법 3종세트!",2007.06.13,"여러가지 옷을 추천해 주며 미모와 패션을 칭찬하고, 달콤한 말들로 사치코를 녹인 강지환은 나이많은 여성에게까지 먹히는 실력을 과시했다. 자주 드나드는 명빈관의 어린 10 대 기생들에게는 모성애자극..."
"[BizⓝCEO] i-Fashion 의류기술센터‥패션, 디지털을 입다…IT와 패션은 '열애...",2007.08.23,시스템은 더 나아가 그녀에게 어울리는 다른 옷도 추천해 준다. 이는 인터넷 쇼핑이나 디지털 방송 등을 이용한 홈쇼핑에서도 가능하다. 소비 패턴의 변화와 함께 의류산업도 변화의 물결을 맞을 것으로 전망된다....
"가을 여성복 트렌드… 디자이너 3인 추천, 유행 스타일 따라잡기",2007.09.12,그래서 국내 최정상급 디자이너 루비나·박윤수·손정완씨로부터 최신 유행 스타일을 따라잡을 수 있는 옷들을 추천받았다. ◇루비나씨=최근 몇년째 복고 스타일이 유행하는 것은 너무나 스피디한 시대를 살다보니 과거의...
[25년을 이끈 미래 유망기술]2032년까지 로드맵,2007.09.21,(웨어러블 컴퓨터: 옷 속에 포함돼 있거나 팔목 등에 장착할 수 있는 가벼운 컴퓨터) 콧노래를 부르니 인공지능이 기분에 맞춰 헤어스타일과 옷 등을 추천해 줬다. 이미 A씨의 목소리와 신체상태를 체크한 상태다. (음성...
[쇼핑 고수의 I♥쇼핑]알뜰여대생 하나씨와 단골집 따라잡기,2007.11.08,"평소 옷 입기에 자신이 없다면 우선 색상이 다른 긴팔 티셔츠와 반팔 티셔츠로 레이어드 룩에 도전해... 사장님이나 가게 언니들이 친절하게 옷을 추천해 주니 이것저것 많이 물어보시길. ▽애신망(F29, 33호,02-420-2223)..."
"‘며느리 전성시대’ 출연진, 자선 바자회 총 출동",2007.12.11,이필모 이수경 역시 고객들에게 일일이 옷을 추천하며 입어보기를 권했다. 삼화 네트웍스의 고대정 프로듀서는 “동광인터네셔널에서 물건을 전부 기증받고 아이파크에서 장소 협찬을 받았다”며 “서로 불우 이웃을...
"[IT인력양성 기업과 함께] 젊은 아이디어, 산학교류 넓혔다",2007.12.18,옷을 추천한다. 이 팀의 시스템은 기계학습(Machine Learning) 기법을 응용해 컴퓨터가 특정 상의와 어울리는... 선임연구원)의 추천서를 통해 팀원이 유력 IT기업에 취업이 확정되는 성과를 거뒀다. 이 팀이 개발한...
단골고객 꽉 잡으려면…백화점 숍매니저 ‘무한도전’,2008.01.07,그는 집에서 청주와 생강으로 직접 만든 조미료를 단골 고객에게 선물하는가 하면 단골 고객이 다른 브랜드의 옷을 구입할 때도 같이 가 어울리는 옷을 추천해 준다. 롯데백화점 본점 ‘부르다문’의 홍순옥(55)...
“피서지서 멋내세요”,2008.07.23,23일 서울 소공동 롯데백화점 본점 ‘후 아 유’ 매장에서 직원들이 휴가철 피서지에서 입기 좋은 옷을 추천하고 있다.
[유망브랜드 대상]맹랑호랑이가 예쁜 아동복을 입었다,2008.08.20,보세아동복이지만 많은 옷을 주먹구구식으로 소개하기 보다는 내 아이에게 입히고 싶은 마음에 드는 옷만을 추천하고 있는 맹랑호랑이는 피서철이나 가까운 곳에 마실을 나갈 때도 가족끼리 입을 수 있는 패밀리 룩도 더...
[트렌드세터 연예인 패션읽기1]촌·티 돌풍…안 따라하면 촌티,2008.09.04,"그들의 옷, 헤어스타일, 액세서리, 구두 등은 모든 이들의 관심 대상이 된다. 연예인들도 트렌드 세터가 되기... 강력 추천했다. 무대 위에서는 올해 F/W패션쇼에서 세계적인 디자이너들이 선택한 ‘체크무늬’를 이용..."
"[IT산업의 초석 인재를 키우자] ""적극적 멘티만이 결실의 기쁨""",2008.11.11,자동추천 시스템' 개발에 매달리고 있다. 동료들과 프로젝트팀(멘토: 김정보 해람시스템 사장)을 꾸려... 옷을 추천하는 것이 특징이다. 김두욱씨가 속한 프로젝트팀은 지난해 920여개 IT 멘토링 프로젝트 중 가장 좋은...
"""이 옷 어때요?""",2008.11.13,"""이 옷 어때요?"" 【전주=뉴시스】 13일 전북 전주비전대학에서 열린 바자회에서 김영만 학장(우측)이 한 유학생에게 겨울옷을 추천하고 있다. 이 대학은 이날 선교회원들과 교직원, 재학생들이 모은 겨울의류와 생필품..."
"홍진경 ""MC몽에 '홍시몽' 사업제안 했었다""",2009.05.03,"“평소 MC몽이 사업에 관심이 많아 내게 의논을 자주 해온다”고 밝힌 홍진경은 “MC몽을 돕고 싶어 불광동의 한 대형 쇼핑몰이 좋은 조건으로 나온 게 있어 옷 장사를 추천했다”고 말했다. 이어 그는 ""그런데 문제가 곧..."
MC몽 “홍진경 때문에 사업 쫄딱 망했다”,2009.05.03,홍진경은 “평소 MC몽이 사업에 관심이 많아 내게 의논을 자주 해온다”며 “MC몽을 돕고 싶어 불광동의 한 대형 쇼핑몰이 좋은 조건으로 나온 게 있어 옷 장사를 추천했다”고 해 궁금증을 자아냈다. 그런데 문제는 곧...
"[VOD]'CEO 변신'서인영 ""올 여름엔 이 옷 추천해요!""",2009.06.04,"[SSTV｜이새롬 기자,황예린 PD] ‘신상녀’ 서인영이 직접 CEO로 나서며 패션시장에 뛰어들어 화제다. 3일 오후 서울 압구정에서 미국 브랜드 '베이비 팻(Baby Phat)'의 한국 매장 1호점 오픈 기념행사가 열렸다. 베이비 팻은..."
리버버그 장비 구입은 어떻게?⑤,2009.06.24,"혹시라도 있을 부상을 방지하기 위해 러쉬가드 소재나 쿨맥스 소재의 옷을 추천합니다. 그리고 선크림, 수건, 슬리퍼, 수영복 마지막으로 즐거운 마음만 가지고 오시면 됩니다. ”라고 조언했다. (자료제공: 로그인투어)"
올여름 바캉스 장소·상황에 어울리는 수영복 연출법,2009.07.09,"또 낮에는 야외에서 물놀이를 즐기는 수영복으로, 저녁에는 해변에 들렀다가 바나 카페에 들어가도 손색 없는 원마일 웨어(근거리에서 입고 다닐 수 있는 옷) 수영복을 추천한다. # 계곡에서는 상ㆍ하의 포함된 수영복..."
"""상견례부터 신혼집까지"".. 웨딩플래너의 세계",2009.07.27,"스타일을 추천하면서 조율해 나간다""고 설명했다. 특히 옷을 고를 때에는 스타일만 보는 것이 아니라 ▲식장의 조명상태에 따라 비즈장식이 강한 옷을 추천한다거나 ▲계절에 따라 예복의 색을 고르는 것을 조금 뒤로..."
소개팅 성공률 100%를 위한 스타일링 제안,2009.08.10,핑크색 옷을 강력 추천한다. 핑크를 입는 동시에 얼굴에 생기가 있어 보이면서 동안으로 만들어주는 효과. 게다가 긴장한 남자의 마음도 릴렉스하게 만들어 주는 효과를 준다고 한다. 여기에 포인트로 작은 토트백을...
"[패션트렌드 어드바이스]여름, 체감 온도를 낮추는 컬러를 찾아라!",2009.08.12,또 창백한 하얀 피부에는 비비드 그린 컬러를 추천한다. 샤프하고 생기 있는 피부톤으로 보이는 데 일조할 수... 옷을 추천한다. 너무 강한 컬러가 부담된다면 핑크를 배색으로 사용해 여성적인 이미지를 강조하는 것도...
[라이브인터뷰]레이싱 모델 계의 샛별 류지혜 여신으로 거듭나다!,2009.08.13,같다고 추천해주셔서 시작했는데 상도 타고 주목도 받았죠. 집이 대구인데 19살 때 소속사와 계약을 맺고... 당시 옷을 추천해주신 피디님께 정말 감사하게 생각해요(웃음). - 레이싱 모델을 하면서 아쉬운 점도 있을 것 같다....
"김종진, 여성취향은 남미스타일? ‘구릿빛 이승신 매력철철’",2009.09.16,또 브라질 축제에 입을 법한 옷 스타일을 추천할 때도 있다며 남편의 독특한 취향을 털어놨다. 이에 김종진은 “건강한 구릿빛 피부를 가진 아내 이승신이 남미 스타일로 꾸미면 매력이 철철 넘치기 때문에 더욱...
[TV 하이라이트] MBC '지붕뚫고 하이킥',2009.09.17,"입술도 빨갛게 칠하도록 유도한다""며 김종진의 취향을 공개했다. 게다가 브라질 축제에 입을 법한 옷 스타일을 추천할 때도 있다며 남편의 독특한 취향을 털어놓았다. <scnewsrank>"
"여성들이여, 크리스마스에 남친을 이승기로 만들어라",2009.12.23,최근 영화 '뉴문'으로 전 세계 여성들의 마음을 사로잡은 짐승남(?)을 닮은 듯한 옷집 사장님(사진)이 크리스마스에 남자친구에게 선물할 옷을 추천한다. '댄디 붐'의 김새롱 사장은 요즘 경기가 안 좋은 탓에 옷 찾는...
가인 “조권 얼굴에 몸 말랐다면 안놀았을 것” 솔직 화끈 발언,2010.02.14,가인이 자주 가는 미용실에서 파힘은 머리스타일을 세련되게 바꿨고 다음 코스로 옷 가게에 데리고 가 마음대로 옷을 입어보게 했다. 가인과 조권 부부도 서로에게 옷을 추천하며 화기애애한 분위기를 연출했다. 이때...
"초봄 산행, '1·2·3 법칙'을 기억하라",2010.03.26,바람을 효과적으로 막아주는 윈드 재킷도 부피가 작아 간편하게 휴대할 수 있어 여벌 옷으로 추천할 만하다. 또 젖은 장갑이나 양말은 동상의 위험이 있기 때문에 여벌의 장갑과 양말도 가져가는 것이 좋다. K2 '트레킹...
"초봄 산행, '1·2·3 법칙'을 기억하라",2010.03.26,바람을 효과적으로 막아주는 윈드 재킷도 부피가 작아 간편하게 휴대할 수 있어 여벌 옷으로 추천할 만하다. 또 젖은 장갑이나 양말은 동상의 위험이 있기 때문에 여벌의 장갑과 양말도 가져가는 것이 좋다. K2 '트레킹...
[코리아파워브랜드대상] 수입아동복구매대행!! 국내배송!! `유에스에이베이비...,2010.04.01,"또한, 유에스에이베이비스타일에서는 자기만의 스타일을 만들어가면서 보세아동복, 유아복, 아이옷, 어린이옷, 아동의류, 예쁜아동복, 수입아동복, 간지아동복, 아동복사이트, 예쁜아동복추천, 간지아동복추천..."
가상 시나리오를 통해 본 2015년 삶,2010.04.07,"옷을 추천한다. 디스플레이에서 융숙씨가 마음에 드는 옷을 고르면, 자동화 시스템이 옷을 준비한다. 스마트 섬유로 제작된 옷은 입자마자 몸에 맞게 자동으로 피팅된다. 옷 섬유 속에 내장된 나노 센서는 체온과 혈압..."
예복 한복은 격식 필요,2010.04.13,‘청보리’ 김생자 대표는 “한복을 입어야 할 사람과 충분히 상담한 후에 행사 성격과 입장을 고려해 맞춤과 대여 중 적합한 것을 권하며 어울리는 옷도 추천한다”고 말했다. 완벽하게 갖춰 입어야 아름다워 한복의...
네덜란드 '교황 콘돔' 무료 배포행사 外,2010.05.24,"고객이 허리와 어깨,엉덩이 등의 16개 치수를 입력하면 프로그램을 통해 7가지 기본체형이 정해지고, 거기에 맞는 옷이 추천됩니다. 고객은 비슷비슷한 옷을 수차례씩 입어보는 수고를 덜 수 있고 쇼핑몰은 반품을 줄일 수..."
아침부터 찜통… 출근 스타일은 챙기셨나요?,2010.06.22,여성 '쿨비즈룩' 추천 스타일 5 아무리 노출 패션이 유행이라지만 옷 고르기가 조심스러운 사람들이 있다. 바로 직장 여성들이다. 유행에 뒤처지지 않을 만큼 세련돼 보이면서 직장 상사로부터 싫은 소리를 듣지 않을 만큼...
"나는 상행선, 너는 하행선",2010.07.07,"지난 주말, 결혼기념일을 맞아 아내에게 옷 한 벌 사주고 싶어 함께 쇼핑에 나섰다가 크게 부부 싸움을 한... 박씨는 “한 시간 넘게 쇼핑하면서 여러 차례 어울리는 옷을 추천해줬거든요. 제 의견에 따라 살 것도 아니면..."
"디지털을 입은 패션, 새로운 블루오션 산업으로 뜬다",2010.07.29,"매장서 옷 고르고 맞춤 주문으로 '재고 없는 세상' 가능 글로벌 경쟁력 확보에도 큰 도움 2050년, 옷을... 원한다면 IT기술을 이용해 다른 옷도 코디네이션해 추천해 준다. 이른바 패션에 아이티 기술을 접목한 '아이(I)..."
"애플, 모바일 앱 참여? ···항공·호텔·쇼핑 특허확보",2010.08.01,이 앱에는 개인 옷선택 취향에 기반한 옷 추천기능도 들어있다. 하지만 이것들은 다만 특허애플리케이션일 뿐이다. 다른 많은 기술회사들처럼 애플도 만일에 대비해서 특허를 등록해 놓고서 다른 특정한 미래사업을...
"트위터하는 백화점, ""뭘 살지 물어봐""",2010.08.11,"""다음달 아들 돌잔치 때 입힐 만한 옷 좀 추천해 주세요""(트위터 사용자 Krijina) ""쇼콜라와 모크베이비에서 추천해 주시는 옷으로 사진 올려드립니다 ^^""(신세계백화점 트위터 SSG_Main) 신세계백화점의 트위터 마케팅이..."
"[WE+인터뷰] 스타일리스트① 서은영 ""워스트·베스트는 종이 한장 차이""",2010.08.21,"그게 바로 워스트 드레서예요.” 그는 옷 추천 뿐 아니라 연예인들의 레드 카펫 밟을 때 옷에 따라 인사하는 법, 포즈 증을 다 가르친다. ‘이 드레스에는 작은 백도 들어서는 안된다’, ‘이 드레스에는 손가락을 이용해..."
현실은 초라하지만… '명품 속의 나'는 다른 인생이라 착각,2010.09.18,"자존심이 구겨진 B씨는 친구들과 헤어져 돌아오는 길에 백화점 매장에 들러 친구것과 똑같은 제품을 찾아낸 뒤 매장 직원에게 ""저 옷보다 더 비싼 옷으로 한 벌 추천해 주세요""라고 했다. 이런 심리는 대부분의 평범한..."
`여성포털 사장의 통 큰 보너스`,2010.10.04,#NAME?
"2PM, 거침없는 '폭로전'에 '폭소'… 최고의 '비밀男'은?",2010.11.05,"준수가 검은색 민소매를 입는 이유는 의사의 추천 때문. 준수는 ""합성섬유 재질 옷을 입었는데 등에 발진이 났다. 병원에 갔더니 등에 땀이 많은데 합성섬유를 입어서 그렇다고 했다. 면소매 옷을 꼭 입으라고 추천했다..."
"""여자들 연말 선물로 스카프가 딱이죠""",2010.12.25,화장품보다 향수가 무난한 아이템 남자들 선물로 명품브랜드 넥타이 추천 부모님에겐 종합비타민ㆍ인삼이... 옷을 추천해 줬단다. 박 실장은 이렇게 고객들의 선물을 골라주는 일도 하지만 동시에 백화점의 VVIP 고객 관리도...
가상 코디 조언대로 입어보고 사세요,2011.04.26,스토어-D에서 판매하는 패션 상품을 가상 모델에 코디해볼 수 있는 '피팅 스튜디오(Fitting Studio)' 서비스로 개인의 취향과 체형에 맞는 옷을 추천해준다. 한편 인터파크는 스토어-D의 스타일링 보완을 위해 지난달...
"여성의 봄 패션 코디 제안, 남자가 운영하는 쇼핑몰이 대세",2011.05.16,여성을 잘 아는 남성의 눈으로써 여성의 패션아이콘이 가장 예뻐보이고 잘 표현될 수 있는 매력을 느끼는 옷을 셀렉해 추천 해줄 수 있는 코디네이터가 필요하다. 이 때문에 남성이 운영하는 여성쇼핑몰로 여성들의...
패션 쇼핑몰 `코디 상품` 인기,2011.05.20,#NAME?
